"ID","X","Y","ph_0-30","MaxDepth"
"68013",-76.3499985,3.4833333,7.03506623354467,209
"68014",-76.3499985,3.4833333,7.48318152463823,193
"70581",-77.19972222,3.95,5.20209433885667,110
"70582",-76.25,4.3,6.09911710038789,150
"70585",-76.8,3.4,4.37799866398629,70
"70590",-76.3,3.4,5.1186889858417,145
"70597",-76.3,3.4,6.50277309788201,150
"70604",-76.59972222,3.9,5.41017740646523,150
"70839",-77,3.84972222,4.79899604387078,150
"70888",-76.9,3.66,4.36344703186668,150
"71389",-76.75,3.84972222,4.9090097211037,130
"71390",-76.69972222,3.59972222,4.91947816400976,80
"71470",-76.3,4.19972222,6.35116492040949,150
"71482",-76.25,3.59972222,7.5182950906632,140
"IGAC-CHO-CH-27",-77.1388888891181,4.04444444430863,4.89115953626288,100
"IGAC-VAC-C-1",-75.8211420403002,4.69201001840024,5.54366341995107,150
"IGAC-VAC-C-100",-75.9871079985627,3.74617891529817,4.67885755848233,80
"IGAC-VAC-C-103",-76.0817393788619,3.65288038390547,6.17177956593418,70
"IGAC-VAC-C-104",-76.0924373705719,3.63921177094773,6.05420106410816,45
"IGAC-VAC-C-105",-76.1150048197587,3.54975603477699,4.79469648569229,150
"IGAC-VAC-C-106",-76.1010325133718,3.54673921416534,6.01193199437486,180
"IGAC-VAC-C-107",-76.2077903408227,3.5263482837313,4.97925728178795,150
"IGAC-VAC-C-111",-76.0777226873035,3.73494974016513,5.88602679042908,150
"IGAC-VAC-C-112",-76.0748436944551,3.71810127111928,5.87462013322692,60
"IGAC-VAC-C-113",-76.047760594112,3.67198324705359,5.99951425379295,65
"IGAC-VAC-C-115",-76.1130585295825,3.62017367622318,6.24166389275555,48
"IGAC-VAC-C-116",-76.0492865978338,3.66766300612497,5.86616675139807,55
"IGAC-VAC-C-121",-76.1859021888341,3.25710184964003,5.09172656324232,150
"IGAC-VAC-C-123",-76.2213762816994,3.49014641137967,5.13207956725848,150
"IGAC-VAC-C-16",-76.0239309661988,4.24248984350299,5.96485510515136,150
"IGAC-VAC-C-17",-76.0038198883488,4.30061766952929,6.67600438271828,135
"IGAC-VAC-C-18",-75.9770742214927,4.27883427863346,6.20610110260085,150
"IGAC-VAC-C-22",-76.2436179845066,3.93044899915155,5.9,22
"IGAC-VAC-C-23",-76.2392598433854,3.93102328295184,6.00480185805822,110
"IGAC-VAC-C-24",-76.103418241377,4.25133866294009,5.67570572887173,150
"IGAC-VAC-C-26",-76.1231810698583,3.37567655577823,5.64961575145803,140
"IGAC-VAC-C-28",-76.19791142424,3.30921458289124,6.1,10
"IGAC-VAC-C-29",-76.1917464931187,3.28125011794036,6.18077802704208,150
"IGAC-VAC-C-31",-76.1499820191638,3.42485632610565,6.08791226043946,125
"IGAC-VAC-C-32",-76.1820424779327,3.42421814498268,6.1,80
"IGAC-VAC-C-33",-76.1678990246768,3.32703652077892,6.29494113913116,75
"IGAC-VAC-C-45",-75.9765636188665,4.52059465504232,5.80377884385234,65
"IGAC-VAC-C-46",-75.9659437268992,4.51333612386981,5.56544758865623,148
"IGAC-VAC-C-51",-75.8685389063465,4.34146944690189,6.03449572114678,150
"IGAC-VAC-C-52",-75.8680406111634,4.33767135201469,5.49256470397981,150
"IGAC-VAC-C-53",-75.8710552581277,4.3730182340664,5.85854786238345,160
"IGAC-VAC-C-54",-75.8676839796797,4.38575178147137,5.50008943816611,160
"IGAC-VAC-C-56",-75.8691330255464,4.32477132851083,5.69279605903321,150
"IGAC-VAC-C-59",-75.8906815071279,4.04254540693399,5.41516153402977,165
"IGAC-VAC-C-61",-75.888055556,4.0236111111,4.74482916076148,170
"IGAC-VAC-C-63",-76.1499842914162,4.14361546112192,5.74078244175873,180
"IGAC-VAC-C-82",-75.8668074850323,4.66757170992275,5.17799654986443,150
"IGAC-VAC-C-83",-75.9799969440158,4.4782675837776,5.80814539466031,150
"IGAC-VAC-C-85",-75.939394396093,4.50132389629855,6.02667222545119,150
